tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
20,20,,40,0.05,0.95,,72.22222222222223,3.888888888888889,38.05555555555556
20,20,,40,0.1,0.9,,74.22222222222223,3.111111111111111,38.66666666666667
20,20,,40,0.15,0.85,,74.88888888888889,2.3333333333333335,38.61111111111111
20,20,,40,0.2,0.8,,76.88888888888889,1.3333333333333333,39.11111111111111
20,20,,40,0.25,0.75,,78.0,0.6666666666666666,39.333333333333336
20,20,,40,0.3,0.7,,79.33333333333333,0.2222222222222222,39.77777777777778
20,20,,40,0.35,0.65,,80.88888888888889,0.1111111111111111,40.5
20,20,,40,0.4,0.6,,83.33333333333333,0.1111111111111111,41.72222222222222
20,20,,40,0.45,0.55,,85.11111111111111,0.1111111111111111,42.611111111111114
20,20,,40,0.5,0.5,,87.55555555555556,0.1111111111111111,43.833333333333336
20,20,,40,0.55,0.45,,88.22222222222223,0.1111111111111111,44.16666666666667
20,20,,40,0.6,0.4,,89.33333333333333,0.1111111111111111,44.72222222222222
20,20,,40,0.65,0.35,,90.22222222222223,0.1111111111111111,45.16666666666667
20,20,,40,0.7,0.3,,90.88888888888889,0.1111111111111111,45.5
20,20,,40,0.75,0.25,,90.22222222222223,0.1111111111111111,45.16666666666667
20,20,,40,0.8,0.2,,90.0,0.1111111111111111,45.05555555555556
20,20,,40,0.85,0.15,,89.33333333333333,0.1111111111111111,44.72222222222222
20,20,,40,0.9,0.1,,88.44444444444444,0.1111111111111111,44.27777777777778
20,20,,40,0.95,0.05,,87.33333333333333,0.1111111111111111,43.72222222222222
20,20,,42,0.05,0.95,,70.22222222222223,4.222222222222222,37.22222222222223
20,20,,42,0.1,0.9,,70.88888888888889,3.888888888888889,37.388888888888886
20,20,,42,0.15,0.85,,72.44444444444444,3.0,37.72222222222222
20,20,,42,0.2,0.8,,73.33333333333333,1.8888888888888888,37.61111111111111
20,20,,42,0.25,0.75,,74.88888888888889,1.2222222222222223,38.05555555555556
20,20,,42,0.3,0.7,,76.22222222222223,0.6666666666666666,38.44444444444445
20,20,,42,0.35,0.65,,77.33333333333333,0.2222222222222222,38.77777777777778
20,20,,42,0.4,0.6,,78.44444444444444,0.1111111111111111,39.27777777777778
20,20,,42,0.45,0.55,,80.88888888888889,0.1111111111111111,40.5
20,20,,42,0.5,0.5,,83.55555555555556,0.1111111111111111,41.833333333333336
20,20,,42,0.55,0.45,,84.0,0.1111111111111111,42.05555555555556
20,20,,42,0.6,0.4,,84.66666666666667,0.1111111111111111,42.38888888888889
20,20,,42,0.65,0.35,,86.0,0.1111111111111111,43.05555555555556
20,20,,42,0.7,0.3,,86.0,0.1111111111111111,43.05555555555556
20,20,,42,0.75,0.25,,86.22222222222223,0.1111111111111111,43.16666666666667
20,20,,42,0.8,0.2,,85.33333333333333,0.1111111111111111,42.72222222222222
20,20,,42,0.85,0.15,,84.88888888888889,0.1111111111111111,42.5
20,20,,42,0.9,0.1,,84.22222222222223,0.1111111111111111,42.16666666666667
20,20,,42,0.95,0.05,,84.44444444444444,0.1111111111111111,42.27777777777778
20,20,,44,0.05,0.95,,64.44444444444444,5.222222222222222,34.833333333333336
20,20,,44,0.1,0.9,,66.0,4.222222222222222,35.111111111111114
20,20,,44,0.15,0.85,,68.22222222222223,3.888888888888889,36.05555555555556
20,20,,44,0.2,0.8,,69.11111111111111,2.888888888888889,36.0
20,20,,44,0.25,0.75,,70.88888888888889,1.7777777777777777,36.33333333333333
